"movieId","title","genres"
1,"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy"
1047,"Jumanji (1995)","Adventure|Children|Fantasy"
2609,"Grumpier Old Men (1995)","Comedy|Romance"
4260,"Waiting to Exhale (1995)","Comedy|Drama|Romance"
5794,"Father of the Bride Part II (1995)","Comedy"
7466,"Heat (1995)","Action|Crime|Thriller"
8927,"Sabrina (1995)","Comedy|Romance"
9748,"Tom and Huck (1995)","Adventure|Children"
10554,"Sudden Death (1995)","Action"
2,"GoldenEye (1995)","Action|Adventure|Thriller"
110,"American President, The (1995)","Comedy|Drama|Romance"
218,"Dracula: Dead and Loving It (1995)","Comedy|Horror"
325,"Balto (1995)","Animation|Children"
434,"Nixon (1995)","Drama"
533,"Cutthroat Island (1995)","Action|Adventure|Romance"
635,"Casino (1995)","Crime|Drama"
740,"Sense and Sensibility (1995)","Comedy|Drama|Romance"
836,"Four Rooms (1995)","Comedy|Drama|Thriller"
936,"Ace Ventura: When Nature Calls (1995)","Comedy"
1048,"Money Train (1995)","Action|Comedy|Crime|Drama|Thriller"
1159,"Get Shorty (1995)","Action|Comedy|Drama"
1270,"Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller"
1380,"Assassins (1995)","Action|Crime|Thriller"
1491,"Powder (1995)","Drama|Sci-Fi"
1602,"Leaving Las Vegas (1995)","Drama|Romance"
1808,"Othello (1995)","Drama"
2149,"Now and Then (1995)","Drama"
2387,"Persuasion (1995)","Drama|Romance"
2498,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi"
2610,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Crime|Drama"
2758,"Dangerous Minds (1995)","Drama"
2991,"12 Monkeys (Twelve Monkeys) (1995)","Sci-Fi|Thriller"
3225,"Wings of Courage (1995)","Adventure|IMAX|Romance"
3427,"Babe (1995)","Children|Comedy|Drama|Fantasy"
3595,"Carrington (1995)","Drama|Romance"
3708,"Dead Man Walking (1995)","Crime|Drama"
3845,"Across the Sea of Time (1995)","Documentary|IMAX"
3985,"It Takes Two (1995)","Comedy"
4113,"Clueless (1995)","Comedy|Romance"
4261,"Cry, the Beloved Country (1995)","Drama"
4408,"Richard III (1995)","Drama|War"
4543,"Dead Presidents (1995)","Action|Crime|Drama"
4686,"Restoration (1995)","Drama"
4835,"Mortal Kombat (1995)","Action|Adventure|Fantasy"
4996,"To Die For (1995)","Comedy|Drama|Thriller"
5152,"How to Make an American Quilt (1995)","Drama|Romance"
5298,"Seven (a.k.a. Se7en) (1995)","Crime|Horror|Mystery|Thriller"
5465,"Pocahontas (1995)","Animation|Children|Musical|Romance"
5636,"When Night Is Falling (1995)","Drama|Romance"
5795,"Usual Suspects, The (1995)","Crime|Mystery|Thriller"
5955,"Guardian Angel (1994)","Action|Drama|Thriller"
6113,"Mighty Aphrodite (1995)","Comedy|Drama|Romance"
6275,"Lamerica (1994)","Adventure|Drama"
6436,"Big Green, The (1995)","Children|Comedy"
6605,"Georgia (1995)","Drama"
6798,"Kids of the Round Table (1995)","Adventure|Children|Fantasy"
6960,"Home for the Holidays (1995)","Drama"
7112,"Postman, The (Postino, Il) (1994)","Comedy|Drama|Romance"
7281,"Confessional, The (Confessionnal, Le) (1995)","Drama|Mystery"
7467,"Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy"
7658,"Eye for an Eye (1996)","Drama|Thriller"
7843,"Mr. Holland's Opus (1995)","Drama"
8023,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)","Comedy|Crime"
8189,"Two if by Sea (1996)","Comedy|Romance"
8367,"Bio-Dome (1996)","Comedy"
8489,"Lawnmower Man 2: Beyond Cyberspace (1996)","Action|Sci-Fi|Thriller"
8599,"Two Bits (1995)","Drama"
8709,"French Twist (Gazon maudit) (1995)","Comedy|Romance"
8818,"Friday (1995)","Comedy"
8928,"From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller"
9039,"Fair Game (1995)","Action"
9150,"Kicking and Screaming (1995)","Comedy|Drama"
9261,"Misérables, Les (1995)","Drama|War"
9372,"Bed of Roses (1996)","Drama|Romance"
9446,"Big Bully (1996)","Comedy|Drama"
9487,"Screamers (1995)","Action|Sci-Fi|Thriller"
9528,"Nico Icon (1995)","Documentary"
9602,"Crossing Guard, The (1995)","Drama"
9674,"Juror, The (1996)","Drama|Thriller"
9749,"White Balloon, The (Badkonake sefid) (1995)","Children|Drama"
9798,"Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance"
9855,"Antonia's Line (Antonia) (1995)","Comedy|Drama"
9915,"Once Upon a Time... When We Were Colored (1995)","Drama"
9976,"Last Summer in the Hamptons (1995)","Comedy|Drama"
10039,"Angels and Insects (1995)","Drama|Romance"
10113,"White Squall (1996)","Adventure|Drama"
10223,"Dunston Checks In (1996)","Children|Comedy"
10334,"Black Sheep (1996)","Comedy"
10443,"Nick of Time (1995)","Action|Thriller"
10555,"Journey of August King, The (1995)","Drama"
10596,"Mary Reilly (1996)","Drama|Horror|Thriller"
10607,"Vampire in Brooklyn (1995)","Comedy|Romance"
10618,"Beautiful Girls (1996)","Comedy|Drama|Romance"
10629,"Broken Arrow (1996)","Action|Adventure|Thriller"
10640,"In the Bleak Midwinter (1995)","Comedy|Drama"
10651,"Hate (Haine, La) (1995)","Drama"
10661,"Shopping (1994)","Action|Thriller"
10672,"Heidi Fleiss: Hollywood Madam (1995)","Documentary"
3,"City Hall (1996)","Drama|Thriller"
14,"Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance"
25,"Mr. Wrong (1996)","Comedy"
36,"Unforgettable (1996)","Mystery|Sci-Fi|Thriller"
47,"Happy Gilmore (1996)","Comedy"
57,"Bridges of Madison County, The (1995)","Drama|Romance"
68,"Nobody Loves Me (Keiner liebt mich) (1994)","Comedy|Drama"
79,"Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical"
88,"Catwalk (1996)","Documentary"
99,"Headless Body in Topless Bar (1995)","Comedy"
111,"Braveheart (1995)","Action|Drama|War"
121,"Taxi Driver (1976)","Crime|Drama|Thriller"
132,"Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime"
143,"Before and After (1996)","Drama|Mystery"
154,"Margaret's Museum (1995)","Drama"
165,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)","Comedy"
176,"Anne Frank Remembered (1995)","Documentary"
187,"Young Poisoner's Handbook, The (1995)","Crime|Drama"
198,"If Lucy Fell (1996)","Comedy|Romance"
208,"Steal Big, Steal Little (1995)","Comedy"
219,"Race the Sun (1996)","Drama"
229,"Boys of St. Vincent, The (1992)","Drama"
240,"Boomerang (1992)","Comedy|Romance"
250,"Chungking Express (Chóngqìng Senlín) (1994)","Drama|Mystery|Romance"
260,"Star Maker, The (L'Uomo delle stelle) (1995)","Drama"
271,"Flirting With Disaster (1996)","Comedy"
282,"NeverEnding Story III, The (1994)","Adventure|Children|Fantasy"
293,"Silence of the Palace, The (Saimt el Qusur) (1994)","Drama"
304,"Jupiter's Wife (1994)","Documentary"
315,"Pie in the Sky (1996)","Comedy|Romance"
326,"Angela (1995)","Drama"
337,"Frankie Starlight (1995)","Drama|Romance"
348,"Jade (1995)","Thriller"
359,"Nueba Yol (1995)","Comedy|Drama"
369,"Sonic Outlaws (1995)","Documentary"
380,"Down Periscope (1996)","Comedy"
391,"From the Journals of Jean Seberg (1995)","Documentary"
401,"Man of the Year (1995)","Documentary"
412,"Neon Bible, The (1995)","Drama"
423,"Target (1995)","Action|Drama"
435,"Up Close and Personal (1996)","Drama|Romance"
444,"Birdcage, The (1996)","Comedy"
454,"Shadows (Cienie) (1988)","Drama"
465,"Gospa (1995)","Drama"
475,"Brothers McMullen, The (1995)","Comedy"
486,"Bad Boys (1995)","Action"
495,"Amazing Panda Adventure, The (1995)","Adventure|Children"
505,"Basketball Diaries, The (1995)","Drama"
515,"Awfully Big Adventure, An (1995)","Drama"
525,"Amateur (1994)","Crime|Drama|Thriller"
534,"Apollo 13 (1995)","Adventure|Drama"
543,"Rob Roy (1995)","Action|Drama|Romance|War"
553,"Addiction, The (1995)","Drama|Horror"
563,"Batman Forever (1995)","Action|Adventure|Comedy|Crime"
572,"Belle de jour (1967)","Drama"
582,"Beyond Rangoon (1995)","Adventure|Drama|War"
593,"Blue in the Face (1995)","Comedy|Drama"
603,"Canadian Bacon (1995)","Comedy|War"
613,"Casper (1995)","Adventure|Children"
624,"Clockers (1995)","Crime|Drama|Mystery"
636,"Congo (1995)","Action|Adventure|Mystery|Sci-Fi"
646,"Crimson Tide (1995)","Drama|Thriller|War"
656,"Crumb (1994)","Documentary"
667,"Desperado (1995)","Action|Romance|Thriller"
675,"Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller"
686,"Die Hard: With a Vengeance (1995)","Action|Crime|Thriller"
697,"Doom Generation, The (1995)","Comedy|Crime|Drama"
708,"Feast of July (1995)","Drama"
719,"First Knight (1995)","Action|Drama|Romance"
730,"Free Willy 2: The Adventure Home (1995)","Adventure|Children|Drama"
741,"Hackers (1995)","Action|Adventure|Crime|Thriller"
751,"Jeffrey (1995)","Comedy|Drama"
761,"Johnny Mnemonic (1995)","Action|Sci-Fi|Thriller"
772,"Judge Dredd (1995)","Action|Crime|Sci-Fi"
781,"Jury Duty (1995)","Comedy"
790,"Kids (1995)","Drama"
799,"Living in Oblivion (1995)","Comedy"
807,"Lord of Illusions (1995)","Horror"
816,"Love & Human Remains (1993)","Comedy|Drama"
826,"Mad Love (1995)","Drama|Romance"
837,"Mallrats (1995)","Comedy"
844,"Mighty Morphin Power Rangers: The Movie (1995)","Action|Children"
853,"Moonlight and Valentino (1995)","Drama|Romance"
862,"Mute Witness (1994)","Comedy|Horror|Thriller"
872,"Nadja (1994)","Drama"
882,"Net, The (1995)","Action|Crime|Thriller"
893,"Nine Months (1995)","Comedy|Romance"
903,"Party Girl (1995)","Comedy"
914,"Prophecy, The (1995)","Fantasy|Horror|Mystery"
925,"Reckless (1995)","Comedy|Fantasy"
937,"Safe (1995)","Thriller"
948,"Scarlet Letter, The (1995)","Drama|Romance"
959,"Show, The (1995)","Documentary"
970,"Showgirls (1995)","Drama"
981,"Smoke (1995)","Comedy|Drama"
992,"Something to Talk About (1995)","Comedy|Drama|Romance"
1003,"Species (1995)","Horror|Sci-Fi"
1014,"Stars Fell on Henrietta, The (1995)","Drama"
1025,"Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller"
1036,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama|Musical"
1049,"Tie That Binds, The (1995)","Thriller"
1060,"Three Wishes (1995)","Drama"
1071,"Total Eclipse (1995)","Drama|Romance"
1082,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Comedy"
1093,"Under Siege 2: Dark Territory (1995)","Action"
1104,"Unstrung Heroes (1995)","Comedy|Drama"
1115,"Unzipped (1995)","Documentary"
1126,"Walk in the Clouds, A (1995)","Drama|Romance"
1137,"Waterworld (1995)","Action|Adventure|Sci-Fi"
1148,"White Man's Burden (1995)","Drama"
1160,"Wild Bill (1995)","Western"
1171,"Browning Version, The (1994)","Drama"
1182,"Bushwhacked (1995)","Adventure|Comedy|Crime|Mystery"
1193,"Burnt by the Sun (Utomlyonnye solntsem) (1994)","Drama"
1204,"Before the Rain (Pred dozhdot) (1994)","Drama|War"
1215,"Before Sunrise (1995)","Drama|Romance"
1226,"Billy Madison (1995)","Comedy"
1237,"Babysitter, The (1995)","Drama|Thriller"
1248,"Boys on the Side (1995)","Comedy|Drama"
1259,"Cure, The (1995)","Drama"
1271,"Castle Freak (1995)","Horror"
1292,"Circle of Friends (1995)","Drama|Romance"
1303,"Clerks (1994)","Comedy"
1314,"Don Juan DeMarco (1995)","Comedy|Drama|Romance"
1325,"Disclosure (1994)","Drama|Thriller"
1336,"Dream Man (1995)","Thriller"
1347,"Drop Zone (1994)","Action|Thriller"
1358,"Destiny Turns on the Radio (1995)","Comedy"
1369,"Death and the Maiden (1994)","Drama|Thriller"
1381,"Dolores Claiborne (1995)","Drama|Thriller"
1392,"Dumb & Dumber (1994)","Comedy"
1403,"Eat Drink Man Woman (Yin shi nan nu) (1994)","Comedy|Drama|Romance"
1414,"Exotica (1994)","Drama"
1425,"Exit to Eden (1994)","Comedy"
1436,"Ed Wood (1994)","Comedy|Drama"
1447,"French Kiss (1995)","Action|Comedy|Romance"
1458,"Forget Paris (1995)","Comedy|Romance"
1469,"Far From Home: The Adventures of Yellow Dog (1995)","Adventure|Children"
1480,"Goofy Movie, A (1995)","Animation|Children|Comedy|Romance"
1492,"Hideaway (1995)","Thriller"
1503,"Fluke (1995)","Children|Drama"
1514,"Farinelli: il castrato (1994)","Drama|Musical"
1525,"Gordy (1995)","Comedy"
1536,"Gumby: The Movie (1995)","Animation|Children"
1547,"Glass Shield, The (1994)","Crime|Drama"
1558,"Hoop Dreams (1994)","Documentary"
1569,"Heavenly Creatures (1994)","Crime|Drama|Fantasy|Romance|Thriller"
1580,"Houseguest (1994)","Comedy"
1591,"Immortal Beloved (1994)","Drama|Romance"
1603,"Heavyweights (a.k.a. Heavy Weights) (1995)","Children|Comedy"
1614,"Hunted, The (1995)","Action"
1625,"I.Q. (1994)","Comedy|Romance"
1636,"Interview with the Vampire: The Vampire Chronicles (1994)","Drama|Horror"
1647,"Jefferson in Paris (1995)","Drama"
1658,"Jerky Boys, The (1994)","Comedy"
1669,"Junior (1994)","Comedy|Sci-Fi"
1680,"Just Cause (1995)","Mystery|Thriller"
1718,"Kid in King Arthur's Court, A (1995)","Adventure|Children|Comedy|Fantasy|Romance"
1757,"Kiss of Death (1995)","Crime|Drama|Thriller"
1809,"Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977)","Action|Adventure|Sci-Fi"
1840,"Little Women (1994)","Drama"
1894,"Little Princess, A (1995)","Children|Drama"
1931,"Ladybird Ladybird (1994)","Drama"
1969,"Enfer, L' (1994)","Drama"
2001,"Like Water for Chocolate (Como agua para chocolate) (1992)","Drama|Romance"
2033,"Legends of the Fall (1994)","Drama|Romance|War|Western"
2066,"Major Payne (1995)","Comedy"
2097,"Little Odessa (1994)","Drama"
2125,"My Crazy Life (Mi vida loca) (1993)","Drama"
2150,"Love Affair (1994)","Drama|Romance"
2165,"Losing Isaiah (1995)","Drama"
2180,"Madness of King George, The (1994)","Comedy|Drama"
2194,"Frankenstein (Mary Shelley's Frankenstein) (1994)","Drama|Horror"
2215,"Man of the House (1995)","Comedy"
2236,"Mixed Nuts (1994)","Comedy"
2260,"Milk Money (1994)","Comedy|Romance"
2287,"Miracle on 34th Street (1994)","Drama"
2324,"Miami Rhapsody (1995)","Comedy"
2373,"My Family (1995)","Drama"
2388,"Murder in the First (1995)","Drama|Thriller"
2399,"Nobody's Fool (1994)","Comedy|Drama|Romance"
2410,"Nell (1994)","Drama"
2421,"New Jersey Drive (1995)","Crime|Drama"
2432,"New York Cop (Nyû Yôku no koppu) (1993)","Action|Crime"
2443,"Beyond Bedlam (1993)","Drama|Horror"
2454,"Nemesis 2: Nebula (1995)","Action|Sci-Fi|Thriller"
2465,"Nina Takes a Lover (1994)","Comedy|Romance"
2476,"Natural Born Killers (1994)","Action|Crime|Thriller"
2487,"Only You (1994)","Comedy|Romance"
2499,"Once Were Warriors (1994)","Crime|Drama"
2510,"Poison Ivy II (1996)","Drama|Thriller"
2521,"Outbreak (1995)","Action|Drama|Sci-Fi|Thriller"
2532,"Léon: The Professional (Léon) (Professional, The) (1994)","Crime|Drama|Romance|Thriller"
2543,"Perez Family, The (1995)","Comedy|Romance"
2554,"Pyromaniac's Love Story, A (1995)","Comedy|Romance"
2565,"Pulp Fiction (1994)","Comedy|Crime|Drama"
2576,"Panther (1995)","Drama"
2587,"Pushing Hands (Tui shou) (1992)","Comedy|Drama"
2598,"Priest (1994)","Drama"
2611,"Quiz Show (1994)","Drama"
2622,"Picture Bride (Bijo photo) (1994)","Drama|Romance"
2633,"Queen Margot (La Reine Margot) (1994)","Drama|Romance"
2644,"Quick and the Dead, The (1995)","Action|Adventure|Western"
2655,"Roommates (1995)","Comedy|Drama"
2666,"Ready to Wear (Pret-A-Porter) (1994)","Comedy"
2677,"Three Colors: Red (Trois couleurs: Rouge) (1994)","Drama"
2689,"Three Colors: Blue (Trois couleurs: Bleu) (1993)","Drama"
2709,"Three Colors: White (Trois couleurs: Blanc) (1994)","Comedy|Drama"
2737,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)","Drama"
2759,"Rent-a-Kid (1995)","Comedy"
2789,"Relative Fear (1994)","Horror|Thriller"
2816,"Stuart Saves His Family (1995)","Comedy"
2836,"Swan Princess, The (1994)","Animation|Children"
2854,"Secret of Roan Inish, The (1994)","Children|Drama|Fantasy|Mystery"
2881,"Specialist, The (1994)","Action|Drama|Thriller"
2904,"Stargate (1994)","Action|Adventure|Sci-Fi"
2932,"Santa Clause, The (1994)","Comedy|Drama|Fantasy"
2953,"Shawshank Redemption, The (1994)","Drama"
2969,"Shallow Grave (1994)","Comedy|Drama|Thriller"
2992,"Suture (1993)","Film-Noir|Thriller"
3026,"Strawberry and Chocolate (Fresa y chocolate) (1993)","Drama"
3057,"Swimming with Sharks (1995)","Comedy|Drama"
3115,"Sum of Us, The (1994)","Comedy|Drama"
3130,"National Lampoon's Senior Trip (1995)","Comedy"
3150,"To Live (Huozhe) (1994)","Drama"
3176,"Tank Girl (1995)","Action|Comedy|Musical|Sci-Fi"
3192,"Tales from the Crypt Presents: Demon Knight (1995)","Horror|Thriller"
3210,"Star Trek: Generations (1994)","Action|Adventure|Drama|Sci-Fi"
3226,"Tales from the Hood (1995)","Action|Crime|Horror"
3242,"Tom & Viv (1994)","Drama"
3278,"Village of the Damned (1995)","Horror|Sci-Fi"
3293,"Tommy Boy (1995)","Comedy"
3308,"Vanya on 42nd Street (1994)","Drama"
3327,"Underneath (1995)","Mystery|Thriller"
3343,"Walking Dead, The (1995)","Drama|War"
3373,"What's Eating Gilbert Grape (1993)","Drama"
3389,"Virtuosity (1995)","Action|Sci-Fi|Thriller"
3413,"While You Were Sleeping (1995)","Comedy|Romance"
3428,"War, The (1994)","Adventure|Drama|War"
3445,"Double Happiness (1994)","Drama"
3470,"Muriel's Wedding (1994)","Comedy"
3484,"Baby-Sitters Club, The (1995)","Children"
3506,"Ace Ventura: Pet Detective (1994)","Comedy"
3522,"Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy|Drama"
3546,"Backbeat (1993)","Drama|Musical"
3562,"Bitter Moon (1992)","Drama|Film-Noir"
3574,"Bullets Over Broadway (1994)","Comedy"
3584,"Clear and Present Danger (1994)","Action|Adventure|Thriller"
3596,"Client, The (1994)","Drama|Mystery|Thriller"
3608,"Corrina, Corrina (1994)","Comedy|Drama|Romance"
3619,"Crooklyn (1994)","Comedy"
3630,"Crow, The (1994)","Action|Crime|Fantasy|Thriller"
3640,"Cobb (1994)","Drama"
3651,"Flintstones, The (1994)","Children|Comedy|Fantasy"
3662,"Forrest Gump (1994)","Comedy|Drama|Romance|War"
3673,"Four Weddings and a Funeral (1994)","Comedy|Romance"
3684,"Higher Learning (1995)","Drama"
3696,"I Like It Like That (1994)","Comedy|Drama|Romance"
3709,"I Love Trouble (1994)","Action|Comedy"
3721,"It Could Happen to You (1994)","Comedy|Drama|Romance"
3733,"Jungle Book, The (1994)","Adventure|Children|Romance"
3745,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)","Documentary"
3758,"Lion King, The (1994)","Adventure|Animation|Children|Drama|Musical"
3771,"Little Buddha (1993)","Drama"
3799,"Wes Craven's New Nightmare (1994)","Fantasy|Horror"
3810,"Mask, The (1994)","Action|Comedy|Crime|Fantasy"
3823,"Maverick (1994)","Adventure|Comedy|Western"
3834,"Mrs. Parker and the Vicious Circle (1994)","Drama"
3846,"Naked Gun 33 1/3: The Final Insult (1994)","Action|Comedy"
3857,"Paper, The (1994)","Comedy|Drama"
3868,"Reality Bites (1994)","Comedy|Drama|Romance"
3882,"Red Rock West (1992)","Thriller"
3898,"Richie Rich (1994)","Children|Comedy"
3911,"Safe Passage (1994)","Drama"
3923,"River Wild, The (1994)","Action|Thriller"
3934,"Speed (1994)","Action|Romance|Thriller"
3953,"Speechless (1994)","Comedy|Romance"
3971,"Timecop (1994)","Action|Sci-Fi|Thriller"
3986,"True Lies (1994)","Action|Adventure|Comedy|Romance|Thriller"
4000,"When a Man Loves a Woman (1994)","Drama"
4012,"Wolf (1994)","Drama|Horror|Romance|Thriller"
4024,"Wyatt Earp (1994)","Western"
4038,"Bad Company (1995)","Action|Crime|Drama"
4050,"Man of No Importance, A (1994)","Drama"
4061,"S.F.W. (1994)","Drama"
4073,"Low Down Dirty Shame, A (1994)","Action|Comedy"
4086,"Boys Life (1995)","Drama"
4100,"Colonel Chabert, Le (1994)","Drama|Romance|War"
4114,"Faster Pussycat! Kill! Kill! (1965)","Action|Comedy|Crime|Drama"
4126,"Jason's Lyric (1994)","Crime|Drama"
4138,"Secret Adventures of Tom Thumb, The (1993)","Adventure|Animation"
4152,"Street Fighter (1994)","Action|Adventure|Fantasy"
